time,E_hw_wet_well
0.03125,129077.34265759
0.09375,131983.24677878
0.21875,133843.19012165
0.46875,134646.89626276
0.96875,134633.97250893
1.96875,134137.01178838
2.46875,133873.80383742
3.46875,133502.56260063
4.46875,133277.77748182
5.46875,133140.24609284
6.46875,133053.06136212
7.46875,132995.57010691
8.46875,132956.41146454
9.46875,132929.18250069
10.46875,132910.11748891
11.46875,132896.8917035
12.46875,132887.99905932
13.46875,132882.4197217
14.46875,132879.43629951
15.46875,132878.52785351
16.46875,132879.30598727
17.46875,132881.47465653
18.46875,132884.80395838
19.46875,132889.112502
20.46875,132894.25507955
21.46875,132900.11409783
22.46875,132906.5932514
23.46875,132913.61288989
24.46875,132921.10655677
25.46875,132929.01835726
26.46875,132937.30093341
27.46875,132945.91389054
27.96875,132950.33586221
28.96875,132959.38440718
29.96875,132968.68282075
30.96875,132978.20852936
31.96875,132987.94091099
32.96875,132997.86154686
33.96875,133007.95411958
34.96875,133018.20414332
35.96875,133028.59872582
36.96875,133039.12639541
37.96875,133049.77687679
38.96875,133060.54095592
39.96875,133071.41034624
40,133071.75170438
