time,E_hw_wet_well
0.03125,129070.30085081
0.09375,131969.96284449
0.21875,133825.95703315
0.46875,134627.95948342
0.96875,134615.22300583
1.96875,134120.83328476
2.96875,133699.7171124
3.96875,133419.05693407
4.96875,133240.77708325
5.96875,133126.42183236
6.96875,133050.90603368
7.96875,132999.45595948
8.96875,132963.51575147
9.96875,132938.03272544
10.96875,132919.91188025
11.96875,132907.17452276
12.96875,132898.50094881
13.96875,132892.97652588
14.96875,132889.94597669
15.96875,132888.92647504
16.96875,132889.55372421
17.96875,132891.547293
18.96875,132894.68758685
19.96875,132898.80005792
20.96875,132903.74413965
21.46875,132906.5000004
22.46875,132912.49449647
23.46875,132919.06285723
23.96875,132922.5463123
24.96875,132929.86051053
25.96875,132937.5929952
26.46875,132941.60567474
27.46875,132949.88986779
28.46875,132958.48884966
28.96875,132962.89925192
29.96875,132971.91833907
30.96875,132981.18051882
31.96875,132990.6645953
32.96875,133000.35107541
33.96875,133010.22248491
34.96875,133020.26323874
35.96875,133030.45947461
36.96875,133040.79882115
37.96875,133051.27021321
38.96875,133061.86372436
39.96875,133072.57042247
40,133072.90682224
