time,E_hw_wet_well
0.03125,129070.94612895
0.09375,131971.18159702
0.21875,133827.54194236
0.46875,134629.70640531
0.96875,134616.9727803
1.96875,134122.49027711
2.46875,133861.00286073
3.46875,133492.60163263
4.46875,133269.55075181
5.46875,133133.01194989
6.46875,133046.45511512
7.46875,132989.40935417
8.46875,132950.58352993
9.46875,132923.60997399
10.46875,132904.74652343
11.46875,132891.6839173
11.96875,132886.94626319
12.96875,132880.06649097
13.96875,132875.99464336
14.46875,132874.87853199
15.46875,132874.09489841
16.46875,132874.94428131
17.46875,132877.16208546
18.46875,132880.52973441
19.46875,132884.87015262
20.46875,132890.04003599
21.46875,132895.92274451
22.46875,132902.42256263
23.46875,132909.46025388
24.46875,132916.96970004
25.46875,132924.89527727
26.46875,132933.18985576
27.46875,132941.81323643
28.46875,132950.73091557
29.46875,132959.91311353
30.46875,132969.33398963
30.96875,132974.12849019
31.96875,132983.86832498
32.96875,132993.79397915
33.96875,133003.89022942
34.96875,133014.14299911
35.96875,133024.53958494
36.96875,133035.06859683
37.96875,133045.71982594
38.96875,133056.48411067
39.96875,133067.35319839
40,133067.69453874
