time,E_hw_wet_well
0.03125,129070.30762368
0.09375,131969.98195035
0.21875,133825.98963645
0.46875,134628.00470656
0.96875,134615.27904164
1.96875,134120.89902852
2.96875,133699.78823602
3.96875,133419.13273448
4.96875,133240.85780766
5.96875,133126.50788069
6.96875,133050.99774784
7.96875,132999.55360322
8.46875,132980.61750027
9.46875,132951.05631115
9.96875,132939.71026121
10.96875,132921.87452335
11.96875,132909.13642415
12.96875,132900.37928806
13.96875,132894.75511518
14.96875,132891.62911186
15.96875,132890.52366872
16.96875,132891.07486026
17.96875,132893.00131943
18.96875,132896.08226313
19.96875,132900.14204761
20.96875,132905.03917549
21.96875,132910.65835507
22.96875,132916.90469819
23.96875,132923.69936058
24.96875,132930.97629222
25.96875,132938.67972682
26.96875,132946.7622654
27.96875,132955.18334345
28.96875,132963.90804735
29.96875,132972.90615917
30.96875,132982.15139465
31.96875,132991.62077836
32.96875,133001.2941431
33.96875,133011.15371346
34.96875,133021.18373724
35.96875,133031.37024153
36.96875,133041.70076863
37.96875,133052.16418882
38.46875,133057.44332721
39.46875,133068.08868445
40,133073.78939738
