time,E_hw_wet_well
0.03125,129070.5512651
0.09375,131970.54138791
0.21875,133826.87891231
0.46875,134629.17920037
0.96875,134616.63689437
1.96875,134122.30821284
2.21875,133945.14727696
2.71875,133683.87086021
3.71875,133355.04193304
4.71875,133168.82179766
5.71875,133058.55209088
6.71875,132989.71159306
7.71875,132944.69069925
8.71875,132914.2731037
9.71875,132893.39727397
10.71875,132879.11505123
11.21875,132873.97803772
12.21875,132866.52877833
13.21875,132862.09740858
14.21875,132860.07826275
15.21875,132860.00299484
16.21875,132861.51241598
17.21875,132864.32937469
18.21875,132868.23758409
19.21875,132873.06609136
20.21875,132878.67807333
21.21875,132884.9627319
22.21875,132891.82937726
23.21875,132899.20304839
24.21875,132907.02125458
24.71875,132911.08427418
25.71875,132919.47858057
26.71875,132928.19693756
27.71875,132937.20669981
28.71875,132946.47857658
29.71875,132955.98670336
30.71875,132965.70844438
31.71875,132975.62397408
32.71875,132985.71587509
33.71875,132995.96878781
34.71875,133006.3691313
35.71875,133016.9048381
36.71875,133027.5651545
37.71875,133038.34046643
38.71875,133049.22215306
39.71875,133060.20245985
40,133063.30790519
