time,E_hw_wet_well
0.03125,130051.10644092
0.09375,133818.57870295
0.21875,136223.60562209
0.46875,137262.24641079
0.71875,136771.6758282
1.21875,135997.23238722
2.21875,135197.60124138
3.21875,134871.60630303
4.21875,134744.44647307
5.21875,134698.1272754
6.21875,134684.98262841
7.21875,134686.05752051
8.21875,134693.72048562
9.21875,134704.7776508
10.21875,134717.80021171
11.21875,134732.08759596
12.21875,134747.25832697
13.21875,134763.0826588
13.71875,134771.20177942
14.21875,134778.42351638
15.21875,134794.33084155
16.21875,134811.07904828
17.21875,134828.26849993
18.21875,134845.74128612
19.21875,134863.42461124
19.71875,134872.33479737
20.71875,134890.26594253
21.71875,134908.32688372
22.71875,134926.50165394
23.71875,134944.7765942
24.71875,134963.14014297
25.71875,134981.58251824
26.71875,135000.09545351
27.71875,135018.67177393
28.71875,135037.30540308
29.71875,135055.99107898
30.71875,135074.72423849
31.71875,135093.50089297
32.71875,135112.31754377
33.71875,135131.17111187
34.71875,135150.05889333
35.71875,135168.9784519
36.71875,135187.92763795
37.71875,135206.90453908
38.71875,135225.90743397
39.71875,135244.93477528
40,135250.29051269
