time,E_hw_wet_well
0.03125,129070.29723341
0.09375,131969.95378028
0.21875,133825.92984924
0.46875,134627.88312161
0.96875,134615.03287619
1.96875,134120.40192775
2.96875,133699.0391988
3.96875,133418.13141716
4.96875,133239.60413151
5.96875,133125.00187327
6.96875,133049.23948206
7.96875,132997.54316778
8.96875,132961.3570056
9.96875,132935.62834855
10.96875,132917.26204561
11.46875,132910.33353889
12.46875,132899.68520163
12.96875,132895.76036288
13.96875,132890.08308987
14.96875,132886.81676833
15.96875,132885.53601144
16.96875,132885.89567085
17.46875,132886.62301185
18.46875,132888.97326784
19.46875,132892.36089762
19.96875,132894.40895575
20.96875,132899.10442967
21.96875,132904.5073487
22.96875,132910.53103405
23.96875,132917.09961348
24.96875,132924.14818835
25.96875,132931.62154228
26.96875,132939.47255435
27.96875,132947.66085834
28.46875,132951.87307473
28.96875,132955.63371528
29.96875,132963.96419541
30.96875,132972.80867873
31.96875,132981.96668483
32.96875,132991.35941392
33.96875,133000.94962686
34.96875,133010.71503845
35.96875,133020.63940402
36.96875,133030.70942669
37.96875,133040.91359601
38.96875,133051.24173188
39.96875,133061.6847166
40,133062.01290157
