time,E_hw_wet_well
0.03125,129070.39024734
0.09375,131970.16751617
0.21875,133826.28160215
0.46875,134628.38781371
0.96875,134615.71860671
1.96875,134121.3495016
2.96875,133700.21304097
3.96875,133419.52613686
4.96875,133241.22214265
5.96875,133126.84672533
6.96875,133051.31419642
7.96875,132999.85003787
8.96875,132963.89769234
9.96875,132938.40405207
10.96875,132920.27371228
11.46875,132913.46347722
12.46875,132903.05211169
13.46875,132896.07998478
14.46875,132891.86250508
15.46875,132889.86815113
16.46875,132889.68824387
17.46875,132891.00686716
18.46875,132893.57713288
19.46875,132897.20366185
20.46875,132901.72992837
21.46875,132907.02906696
22.46875,132912.99715644
23.46875,132919.54823871
24.46875,132926.61061167
24.96875,132930.31885231
25.96875,132938.04400861
26.96875,132946.1420756
27.96875,132954.57557044
28.46875,132958.90996581
29.46875,132967.78801336
30.46875,132976.9220831
31.46875,132986.2894355
32.46875,132995.86923426
33.46875,133005.64283823
34.46875,133015.59367611
35.46875,133025.70702178
36.46875,133035.96970842
37.46875,133046.37008597
38.46875,133056.89764951
38.96875,133062.20685942
39.96875,133072.90878788
40,133073.2450114
