time,E_hw_wet_well
0.03125,128770.51749032
0.09375,131404.39066238
0.21875,133092.41773775
0.46875,133822.08884997
0.96875,133810.63008043
1.96875,133360.73773982
2.96875,132977.20561997
3.96875,132721.31865504
4.96875,132558.51406749
5.96875,132453.83852379
6.96875,132384.48445426
7.96875,132337.01744976
8.96875,132303.65647022
9.96875,132279.80612889
10.96875,132262.65145831
11.96875,132250.39279105
12.46875,132245.79470217
13.46875,132238.85454846
14.46875,132234.37759945
15.46875,132231.90724513
16.46875,132231.08107755
17.46875,132231.61503647
18.46875,132233.2857619
19.46875,132235.91602661
20.46875,132239.36368618
20.96875,132241.36578848
21.96875,132245.84132108
22.96875,132250.87555822
23.96875,132256.4026552
24.96875,132262.36468488
25.96875,132268.71185372
26.46875,132272.01951858
27.46875,132278.87063503
28.46875,132286.00821587
29.46875,132293.4049556
30.46875,132301.03608458
31.46875,132308.87962167
32.46875,132316.91618719
33.46875,132325.12868767
34.46875,132333.50200987
35.46875,132342.02275263
36.46875,132350.67898724
37.46875,132359.46006525
38.46875,132368.35644419
38.96875,132372.84581578
39.46875,132376.80076
40,132381.41996598
