time,E_hw_wet_well
0.03125,129408.59125056
0.09375,132607.49928144
0.21875,134652.50644712
0.46875,135535.56111382
0.96875,135507.22609376
1.96875,134870.34899245
2.46875,134519.46569182
3.46875,134017.22972755
3.96875,133854.94483024
4.96875,133632.53163935
5.96875,133490.13788312
6.96875,133394.93791473
7.96875,133329.12748994
8.96875,133282.40358179
9.96875,133248.561543
10.96875,133223.78733376
11.96875,133205.65024227
12.96875,133192.52932599
13.96875,133183.29926909
14.96875,133177.15273468
15.46875,133175.08724322
16.46875,133172.5516108
17.46875,133171.8297035
18.46875,133172.64278255
19.46875,133174.75841113
20.46875,133177.9861948
21.46875,133182.17032438
22.46875,133187.18262419
23.46875,133192.91689058
24.46875,133199.28440693
25.46875,133206.21051412
25.96875,133209.86766745
26.96875,133217.52232564
27.96875,133225.58973165
28.96875,133234.02988703
29.96875,133242.80654817
30.96875,133251.88763838
31.46875,133256.53553764
32.46875,133266.0243189
33.46875,133275.75111886
34.46875,133285.69667238
35.46875,133295.84314372
36.46875,133306.17440294
37.46875,133316.67596328
37.96875,133321.98748496
38.96875,133332.72188243
39.96875,133343.59553088
40,133343.93756784
