time,E_hw_wet_well
0.03125,129070.3068401
0.09375,131969.97529711
0.21875,133825.97250706
0.46875,134627.96805407
0.96875,134615.20366466
1.96875,134120.74639141
2.46875,133859.27350955
3.46875,133490.87143405
4.46875,133267.79175179
5.46875,133131.20756539
6.46875,133044.59580208
7.46875,132987.48949212
8.46875,132948.59966119
9.46875,132921.55987162
10.46875,132902.62865729
11.46875,132889.49720766
12.46875,132880.66963414
13.46875,132875.13291102
14.46875,132872.17445574
15.46875,132871.27684138
16.46875,132872.05428465
17.46875,132874.21277455
18.46875,132877.52397868
18.96875,132879.56745151
19.96875,132884.29872636
20.96875,132889.78439102
21.96875,132895.92730416
22.96875,132902.64342319
23.96875,132909.86151403
24.96875,132917.52141702
25.96875,132925.57218273
26.96875,132933.97043555
27.96875,132942.67904195
28.96875,132951.66602963
29.96875,132960.9037377
30.96875,132970.36807448
31.96875,132980.03804785
32.96875,132989.89514679
33.96875,132999.92309891
34.96875,133010.10748554
35.96875,133020.43550207
36.96875,133030.89575298
37.96875,133041.478032
38.96875,133052.17318376
39.96875,133062.9729825
40,133063.31215478
