time,E_hw_wet_well
0.03125,129070.2869546
0.09375,131969.93090049
0.21875,133825.90863022
0.46875,134627.90372498
0.96875,134615.17836844
1.96875,134120.8322923
2.46875,133859.42230425
2.96875,133681.5822232
3.96875,133410.27692567
4.96875,133233.42201157
5.96875,133118.77712503
6.96875,133042.89081957
7.96875,132991.29093409
8.96875,132955.39738209
9.96875,132930.08569236
10.96875,132912.2039414
11.96875,132899.73722252
12.96875,132891.34470195
13.96875,132886.10003194
14.96875,132883.34174008
15.96875,132882.58394451
16.96875,132883.46108662
17.96875,132885.6924599
18.46875,132887.2618496
19.46875,132891.14881702
20,132893.58584271
